code,passengers
ATL_KATL,101491106
PEK_ZBAA,89938628
DXB_OMDB,78014841
ORD_KORD,76942493
HND_RJTT,75316718
LHR_EGLL,74989795
LAX_KLAX,74937004
HKG_VHHH,68283407
CDG_LFPG,65766986
DFW_KDFW,64072468
IST_LTBA,61836781
FRA_EDDF,61032022
PVG_ZSPD,60053387
AMS_EHAM,58284864
JFK_KJFK,56827154
SIN_WSSS,55449000
CAN_ZGGG,55201915
CGK_WIII,54053905
DEN_KDEN,54014502
BKK_VTBS,52808013
SFO_KSFO,50057887
ICN_RKSI,49412750
KUL_WMKK,48938424
MAD_LEMD,46779554
DEL_VIDP,45981773
LAS_KLAS,45356580
CLT_KCLT,44876627
MIA_KMIA,44350247
PHX_KPHX,44003840
IAH_KIAH,43023224
SEA_KSEA,42340461
CTU_ZUUU,42244842
YYZ_CYYZ,41036847
MUC_EDDM,40981522
BOM_VABB,40637377
FCO_LIRF,40422156
LGW_EGKK,40271343
SYD_YSSY,39914103
SZX_ZGSZ,39721619
BCN_LEBL,39674095
GRU_SBGR,39213865
SHA_ZSSS,39090699
MCO_KMCO,38727749
TPE_RCTP,38473333
MEX_MMMX,38433288
KMG_ZPPP,37523345
EWR_KEWR,37494704
NRT_RJAA,37268307
MNL_RPLL,36583459
MSP_KMSP,36556281
ATL_KATL,96178899
LAX_KLAX,70663265
ORD_KORD,69999010
DFW_KDFW,63554402
DEN_KDEN,53472514
JFK_KJFK,53254533
SFO_KSFO,47114631
MIA_KMIA,44350247
CLT_KCLT,44279504
LAS_KLAS,42869517
PHX_KPHX,42134662
IAH_KIAH,41239700
SEA_KSEA,42340537
MCO_KMCO,35714091
EWR_KEWR,35610759
MSP_KMSP,35147083
DTW_KDTW,32513555
BOS_KBOS,31658351
PHL_KPHL,30740180
LGA_KLGA,26954588
FLL_KFLL,24648306
BWI_KBWI,22312676
IAD_KIAD,21420385
SLC_KSLC,21141610
MDW_KMDW,21069564
DCA_KDCA,20784384
HNL_KNL,19972910
SAN_KSAN,18758751
TPA_KTPA,17552707
PDX_KPDX,15916512
STL_KSTL,12384015
HOU_KHOU,11945825
BNA_KBNA,11039634
AUS_KAUS,10718854
OAK_KOAK,10336788
MCI_MCI,10166881
MSY_KMSY,9942767
RDU_KRDU,9463598
DAL_KDAL,9413636
SNA_KSNA,9386033
SJC_KSJC,9385212
SMF_KSMF,8972756
SAT_KSAT,8369628
PIT_KPIT,7998970
RSW_KRSW,7970493